GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
catalog-service,com.ecommerce.catalogservice.model,Product,3,76,0,0,2,24,1,16,1,16
catalog-service,com.ecommerce.catalogservice.model,Category,3,16,0,0,2,7,1,4,1,4
catalog-service,com.ecommerce.catalogservice.controller,ProductController,0,41,0,0,0,10,0,6,0,6
catalog-service,com.ecommerce.catalogservice.controller,CategoryController,0,41,0,0,0,10,0,6,0,6
catalog-service,com.ecommerce.catalogservice,CatalogServiceApplication,5,3,0,0,2,1,1,1,1,1
catalog-service,com.ecommerce.catalogservice.exception,CatalogValidationException,0,4,0,0,0,2,0,1,0,1
catalog-service,com.ecommerce.catalogservice.exception,GlobalExceptionHandler,2,105,1,1,0,39,1,7,0,7
catalog-service,com.ecommerce.catalogservice.exception,CategoryNotFoundException,4,5,0,0,2,2,1,1,1,1
catalog-service,com.ecommerce.catalogservice.exception,ErrorResponse,0,27,0,0,0,2,0,2,0,2
catalog-service,com.ecommerce.catalogservice.exception,CatalogConflictException,0,4,0,0,0,2,0,1,0,1
catalog-service,com.ecommerce.catalogservice.exception,ProductNotFoundException,4,5,0,0,2,2,1,1,1,1
catalog-service,com.ecommerce.catalogservice.service,CategoryService,1,136,1,5,0,28,1,13,0,11
catalog-service,com.ecommerce.catalogservice.service,ProductService,0,181,0,2,0,46,0,12,0,11
catalog-service,com.ecommerce.catalogservice.dto,CreateProductRequest,0,24,0,0,0,1,0,1,0,1
catalog-service,com.ecommerce.catalogservice.dto,CreateCategoryRequest,0,6,0,0,0,1,0,1,0,1
catalog-service,com.ecommerce.catalogservice.dto,CategoryDto,0,9,0,0,0,1,0,1,0,1
catalog-service,com.ecommerce.catalogservice.dto,UpdateProductRequest,0,24,0,0,0,1,0,1,0,1
catalog-service,com.ecommerce.catalogservice.dto,ProductDto,0,30,0,0,0,1,0,1,0,1
catalog-service,com.ecommerce.catalogservice.dto,UpdateCategoryRequest,0,6,0,0,0,1,0,1,0,1
